Id,Name,Notes
216,"Birth weight, abnormal (includes intrauterine growth restriction (IUGR))","ONLY use when caregiver or clinician explicitly documents abnormal birth weight: 'IUGR', 'small for gestational age', 'macrosomia', 'birth weight too low/high', 'growth restriction in womb' - NOT for normal weight variations, subjective size concerns, or weight issues developing after birth."
217,"Pregnancy complications (includes threatened abortion, gestational diabetes)","ONLY use when caregiver explicitly describes maternal pregnancy complications: 'gestational diabetes', 'threatened abortion', 'pregnancy complications', 'high-risk pregnancy', 'bleeding during pregnancy' - NOT for normal pregnancy discomforts, single episodes, or family history without maternal complications."
218,"Fetal physiology, abnormal (includes jaundice, congenital pneumonia)","ONLY use when caregiver or clinician explicitly states abnormal fetal/neonatal physiology: 'jaundice', 'congenital pneumonia', 'breathing problems at birth', 'yellow skin', phototherapy for jaundice - NOT for normal newborn transitions, temporary issues, or physiological concerns without abnormal diagnosis."
219,Ultrasound Findings,"ONLY use when caregiver or clinician explicitly states ultrasound showed notable abnormal findings: 'ultrasound showed problems', 'abnormal ultrasound', 'ultrasound found defects', further testing recommended based on ultrasound, soft markers identified at 16-20 weeks gestation that indicate increased risk for fetal aneuploidy or other disorders, or specific abnormal patterns such as sonographic snowstorm pattern of the uterus with complex vesicular intrauterine mass containing grape-like cysts — NOT for routine ultrasounds, normal findings, ultrasounds ordered without confirmed abnormalities, or ultrasound findings that do not represent actual abnormalities requiring follow-up"
220,"Amniotic Fluid, Abnormal (includes Oligohydramnios and Polyhydramnios)","Polyhydraminos HP:0001561'-' excess amniotic fluid, oligohydraminos HP:0001562'-' diminished amniotic fluid."
221,Skin,"ONLY use as a domain header for organizing Skin conditions - NOT for coding individual patient skin symptoms or diagnoses. — NOT for coding individual patient skin symptoms or diagnoses, such as red skin eruptions or other specific dermatological manifestations."
222,Ecchymosis (Bruises Easily),"ONLY use when caregiver describes patient bruises much more easily than normal: 'bruises from light touch', 'bruises constantly', 'gets black and blue easily', 'marks from minor bumps' - NOT for normal childhood bruising, occasional bruises, or bruises from obvious trauma."
223,Excess Skin ,"ONLY use when caregiver or clinician explicitly describes redundant or excess skin: 'extra skin', 'loose skin', 'too much skin', 'redundant skin folds', plastic surgery for excess skin, or specifically excess skin around the neck area that lies in horizontal folds — NOT for normal skin variations, weight-related skin changes, or age-appropriate skin elasticity"
224,"Hair Growth, Abnormal (Hypertrichosis, excess or lack of hair) ","ONLY use when caregiver describes significantly abnormal hair growth: 'too much hair', 'hypertrichosis', 'very little hair', 'bald patches', 'hair doesn't grow normally' - NOT for normal hair variations, slow hair growth, or age-appropriate hair patterns."
225,"Hair Pattern, Abnormal","ONLY use when caregiver describes unusual hair patterns or distribution: 'weird cowlicks', 'hair grows in strange patterns', 'abnormal eyebrow hair', 'hair whorl in wrong place', or other forms of congenital abnormality of hair distribution — NOT for normal cowlicks, family hair patterns, or minor hair direction variations"
226,Nail Defects ,"ONLY use when caregiver describes abnormal nail formation or growth: 'nails are malformed', 'nails don't grow right', 'nail deformity', 'abnormal nail shape', 'nails are brittle/thick', nails that form a tighter curve of convexity when viewed on end (with the digit tip pointing toward the examiner's eye), or decreased width of nail characterized by narrower than normal nail plates — NOT for normal nail variations, occasional nail damage, or nail biting effects"
227,"Pigmentation, Abnormal","ONLY use when caregiver describes unusual skin pigmentation: 'skin has white patches', 'dark spots', 'pigmentation problems', 'skin color uneven', 'café-au-lait spots' - NOT for normal skin tone variations, temporary color changes, or minor birthmarks."
228,"Sensitive Skin/Dermatitis (Includes eczema, psoriasis, rashes, lumps, bumps)","ONLY use when caregiver describes chronic skin conditions: 'eczema', 'psoriasis', 'constant rashes', 'sensitive skin breaks out', 'dermatitis', prescription skin medications - NOT for occasional rashes, temporary skin irritation, or single episode skin problems."
229,"Skin Color, Abnormal (Includes flushing, circulation issues, lacy pattern, mottling)","ONLY use when caregiver describes persistent abnormal skin color patterns: 'skin is mottled', 'lacy pattern on skin', 'flushing constantly', 'circulation problems', 'skin color changes' - NOT for normal color variations, temporary flushing, or situational color changes."
230,"Sweating, Abnormal (Includes absent or reduced sweating, hyperhidrosis)","ONLY use when caregiver describes significantly abnormal sweating: 'sweats excessively', 'hyperhidrosis', 'doesn't sweat at all', 'sweating problems', 'can't regulate temperature through sweating' - NOT for normal sweating variations, situational sweating, or minor sweating differences."
231,"Temperature Regulation, Poor (Includes hot and cold sensitivity)","ONLY use when caregiver describes significant temperature regulation problems: 'can't handle heat/cold', 'overheats easily', 'gets too cold quickly', 'temperature regulation problems', 'sensitive to temperature changes' - NOT for normal temperature preferences, seasonal discomfort, or minor temperature sensitivity."
232,Sleep,ONLY use as a domain header for organizing Sleep conditions - NOT for coding individual patient sleep symptoms or diagnoses.
233,Circadian Abnormalities (sleep wake cycle in 24 hours),"ONLY use when caregiver describes severely disrupted sleep-wake cycle: 'sleeps all day, awake all night', 'sleep cycle is completely backwards', 'can't get on normal schedule', 'circadian rhythm disorder' - NOT for normal sleep variations, temporary schedule changes, or mild sleep preferences."
234,Disorientation (Includes when aroused),"ONLY use when caregiver describes patient becomes confused or disoriented: 'gets confused when waking up', 'disoriented', 'doesn't know where they are', 'confused after waking' - NOT for normal grogginess, brief confusion during illness, or age-appropriate orientation development."
